ville;description;isFrauad;date
sousse;At this point, of course, doctors might protest that theorising around an example like Munchausen's syndrome is more typical of philosophy than of more everyday medical practice, in which medical faith, seeking understanding, has repeatedly found it.;true;"""01/01/2019"""
sousse;When philosophers try to define health some of them reach a similar conclusion. R S Downie for example, agrees that the World Health Organisation definition of health;true;"""01/01/2019"""
sousse;The problem, however, is not just that ill health can be difficult to pin down. It is also that we normally think of health as having a positive as well as a negative dimension. But here again things are complicated. A positive feeling of wellbeing,;true;"""01/01/2019"""
gbelli;A positive feeling of wellbeing, for example, may not be enough. As Downie says: “it would be difficult to make a case for viewing an acute schizophrenic state with mood elevation and a blissful lack of insight as one of positive health”.;true;"""01/01/2019"""
gbelli;One reason then, why definitions of disease and health are sometimes so frustratingly elusive is the part played by value judgments in determining what we mean by disease and health as well as what we mean by illness and sickness. In many cases this is not obvious, because most people,;true;"""01/01/2019"""
gbelli; in our society at least, make the same or similar value judgments about what these words mean and what are examples of what they mean. There is, as it were, a common core of ideas about what disease is or what health is. ;true;"""01/01/2019"""
ariena; But beyond that common core, judgments on whether a condition is a disease, or on what or who is healthy, begin to diverge, and our conceptions of disease and health begin to get fuzzy.;true;"""01/01/2019"""
nabeul;Another way of understanding this, I think, has to do with the important part played by metaphor in the development of thought and language.;true;"""01/01/2019"""
ben arous;When we want to talk about some new experience or discovery for which our existing terminology has no adequate resources, ;true;"""01/01/2019"""
tatawin;For many reasons, the task of health education, which is normally difficult enough, is made much more difficult by the lack of specific procedures for preventing today’s ills,;true;"""01/01/2019"""
ben gerden;Present-day health problems differ from those with which public health traditionally has been concerned in the amount of individual understanding necessary to prevent and cure the diseases or to avoid accidents.;true;"""01/01/2019"""
jerba;Not every person needs to know about or take specific preventive action to be protected from a communicable disease. For example, if a community, through the action of a few of its citizens and its government, installs a safe water supply and sanitary sewage disposal,;true;"""01/01/2019"""
ariena;This must include all the details on the incident. It should be chronological, so nothing is left out.;true;"""01/01/2019"""
tozeur;John was taken to a nearby hospital and a fracture to his wrist was confirmed. John will be out of work for a number of weeks.;true;"""01/01/2019"""
tatawin;As you can see, including the full story, complete with small details and witness statements will help you investigate and recall the incident with greater clarity.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
sidi bouzid;This should include the who, what, where and when of the employee incident:Who was involved.What happened.Where exactly in the workplace it happened.;true;"""01/01/2019"""
